player_name,country,primary_position,secondary_positions,source,notes
Adam Ashley-Cooper,Australia,OC,"RW,FB",manual_verified,Wallabies utility back
Matt Giteau,Australia,IC,FH,manual_verified,Wallabies inside centre/fly-half
Mako Vunipola,England,LH,,manual_verified,England loosehead prop
Joe Marler,England,LH,,manual_verified,England loosehead prop
Ellis Genge,England,LH,,manual_verified,England loosehead prop
Kyle Sinckler,England,TH,,manual_verified,England tighthead prop
Dan Cole,England,TH,,manual_verified,England tighthead prop
Phil Vickery,England,TH,,manual_verified,England tighthead prop
Jason Leonard,England,LH,TH,manual_verified,England prop
Tom Curry,England,OSF,BSF,manual_verified,England flanker
Sam Underhill,England,OSF,,manual_verified,England openside flanker
Billy Vunipola,England,N8,,manual_verified,England number eight
Ben Earl,England,N8,OSF,manual_verified,England back row
Chris Robshaw,England,BSF,OSF,manual_verified,England flanker
Lewis Moody,England,OSF,,manual_verified,England openside flanker
Manu Tuilagi,England,IC,OC,manual_verified,England centre
Jonny May,England,LW,,manual_verified,England wing
Anthony Watson,England,RW,FB,manual_verified,England wing/fullback
Joe Cokanasiga,England,RW,,manual_verified,England wing
Will Greenwood,England,IC,,manual_verified,England inside centre
Jeremy Guscott,England,OC,,manual_verified,England outside centre
Rory Underwood,England,LW,,manual_verified,England wing
Cyril Baille,France,LH,,manual_verified,France loosehead prop
Uini Atonio,France,TH,,manual_verified,France tighthead prop
Rabah Slimani,France,TH,,manual_verified,France tighthead prop
Nicolas Mas,France,TH,,manual_verified,France tighthead prop
Thierry Dusautoir,France,OSF,,manual_verified,France openside flanker
Charles Ollivon,France,BSF,N8,manual_verified,France back row
Gregory Alldritt,France,N8,,manual_verified,France number eight
Serge Betsen,France,OSF,,manual_verified,France openside flanker
Damian Penaud,France,RW,,manual_verified,France wing
Gaël Fickou,France,OC,IC,manual_verified,France centre
Wesley Fofana,France,IC,,manual_verified,France inside centre
Mathieu Bastareaud,France,IC,,manual_verified,France inside centre
Vincent Clerc,France,RW,,manual_verified,France wing
Christophe Dominici,France,LW,,manual_verified,France wing
Yannick Jauzion,France,IC,,manual_verified,France inside centre
Philippe Sella,France,OC,,manual_verified,France outside centre
Patrice Lagisquet,France,LW,,manual_verified,France wing
Cian Healy,Ireland,LH,,manual_verified,Ireland loosehead prop
Tadhg Furlong,Ireland,TH,,manual_verified,Ireland tighthead prop
Andrew Porter,Ireland,LH,TH,manual_verified,Ireland prop
Finlay Bealham,Ireland,TH,,manual_verified,Ireland tighthead prop
Peter O'Mahony,Ireland,BSF,OSF,manual_verified,Ireland flanker
Josh van der Flier,Ireland,OSF,,manual_verified,Ireland openside flanker
Bundee Aki,Ireland,IC,,manual_verified,Ireland inside centre
Garry Ringrose,Ireland,OC,,manual_verified,Ireland outside centre
Robbie Henshaw,Ireland,IC,OC,manual_verified,Ireland centre
Keith Earls,Ireland,RW,OC,manual_verified,Ireland outside back
Jacob Stockdale,Ireland,LW,,manual_verified,Ireland wing
Brian O'Driscoll,Ireland,OC,,manual_verified,Ireland outside centre
Gordon D'Arcy,Ireland,IC,,manual_verified,Ireland inside centre
Shane Horgan,Ireland,RW,,manual_verified,Ireland wing
Simon Zebo,Ireland,LW,FB,manual_verified,Ireland wing/fullback
Gethin Jenkins,Wales,LH,,manual_verified,Wales loosehead prop
Adam Jones,Wales,TH,,manual_verified,Wales tighthead prop
Tomas Francis,Wales,TH,,manual_verified,Wales tighthead prop
Sam Warburton,Wales,OSF,,manual_verified,Wales openside flanker
Justin Tipuric,Wales,OSF,,manual_verified,Wales openside flanker
George North,Wales,RW,,manual_verified,Wales wing
Josh Adams,Wales,LW,,manual_verified,Wales wing
Jamie Roberts,Wales,IC,,manual_verified,Wales inside centre
Shane Williams,Wales,LW,,manual_verified,Wales wing
Will Carling,England,IC,,manual_verified,England centre
WP Nel,Scotland,TH,,manual_verified,Scotland tighthead prop
Zander Fagerson,Scotland,TH,,manual_verified,Scotland tighthead prop
Pierre Schoeman,Scotland,LH,,manual_verified,Scotland loosehead prop
Rory Sutherland,Scotland,LH,,manual_verified,Scotland loosehead prop
Hamish Watson,Scotland,OSF,,manual_verified,Scotland openside flanker
John Barclay,Scotland,OSF,N8,manual_verified,Scotland back row
Jamie Ritchie,Scotland,BSF,OSF,manual_verified,Scotland flanker
Duhan van der Merwe,Scotland,LW,,manual_verified,Scotland wing
Darcy Graham,Scotland,RW,,manual_verified,Scotland wing
Sean Maitland,Scotland,RW,FB,manual_verified,Scotland outside back
Huw Jones,Scotland,OC,,manual_verified,Scotland outside centre
Chris Harris,Scotland,OC,,manual_verified,Scotland outside centre
